Lluvia;Abreviatura;Inicio de actividad;Fin de actividad;Maximo
Cuadrantidas;QUA;28/12/2019;12/01/2020;04/01/2020
Gamma Ursa Minoridas;GUM;10/01/2020;22/01/2020;19/01/2020
Alfa Centauridas;ACE;31/01/2020;20/02/2020;08/02/2020
Gamma Normidas;GNO;25/02/2020;28/03/2020;14/03/2020
Liridas;LYR;14/04/2020;30/04/2020;22/04/2020
Pi Puppidas;PPU;15/04/2020;28/04/2020;23/04/2020
Eta Aquaridas;ETA;19/04/2020;28/05/2020;05/05/2020
Eta Liridas;ELY;03/05/2020;14/05/2020;08/05/2020
Arietidas;ARI;14/05/2020;24/06/2020;07/06/2020
Bootidas de junio;JBO;22/06/2020;02/07/2020;27/06/2020
Piscis Austrinidas;PAU;15/07/2020;10/08/2020;27/07/2020
Delta Aquaridas del Sur;SDA;12/07/2020;23/08/2020;29/07/2020
Alfa Capricornidas;CAP;03/07/2020;15/08/2020;29/07/2020
Perseidas;PER;17/07/2020;24/08/2020;12/08/2020
Kappa Cignidas;KCG;03/08/2020;25/08/2020;17/08/2020
Aurigidas;AUR;28/08/2020;05/09/2020;31/08/2020
Epsilon Perseidas de Septiembre;SPE;05/09/2020;21/09/2020;09/09/2020
Sextantidas diurnas;DSX;09/09/2020;09/10/2020;27/09/2020
Camelopardalidas de Octubre ;OCT;05/10/2020;06/10/2020;05/10/2020
Dacronidas ;DRA;06/10/2020;10/10/2020;08/10/2020
Tauridas del Sur;STA;10/09/2020;20/11/2020;10/10/2020
Delta Aurigidas;DAU;10/10/2020;18/10/2020;11/10/2020
Epsilon Geminidas;EGE;14/10/2020;27/10/2020;18/10/2020
Orionidas;ORI;02/10/2020;07/11/2020;21/10/2020
Leonidas Minoridas;LMI;19/10/2020;27/10/2020;24/10/2020
Tauridas del Norte;NTA;20/10/2020;10/12/2020;12/11/2020
Leonidas;LEO;06/11/2020;30/11/2020;17/11/2020
Alfa Monocerotidas;AMO;15/11/2020;25/11/2020;21/11/2020
Orionidas de noviembre;NOO;13/11/2020;06/12/2020;28/11/2020
Fenicidas;PHO;22/11/2020;09/12/2020;02/12/2020
Puppidas-Velidas;PUP;01/12/2020;15/12/2020;07/12/2020
Monocerotidas;MON;05/12/2020;20/12/2020;09/12/2020
Sigma Hidridas ;HYD;03/12/2020;20/12/2020;09/12/2020
Geminidas;GEM;04/12/2020;20/12/2020;14/12/2020
Coma Berenicidas;COM;12/12/2020;23/12/2020;16/12/2020
Leonidas Minoridas de diciembre;DLM;05/12/2020;04/02/2021;19/12/2020
Ursidas;URS;17/12/2020;26/12/2020;22/12/2020
Capricornidas/Sagitaridas;DCS;13/01/2020;04/02/2020;01/02/2020
Chi Capricornidas;DXC;29/01/2020;28/02/2020;14/02/2020
Piscidas de abril;APS;20/04/2020;26/04/2020;22/04/2020
Epsilon Arietidas;DEA;24/04/2020;27/05/2020;09/05/2020
Arietidas de mayo;DMA;04/05/2020;06/06/2020;16/05/2020
Omicron Cétidas;DCE;05/05/2020;02/06/2020;20/05/2020
Arietidas;ARI;14/05/2020;24/06/2020;07/06/2020
Zeta Perseidas;ZPE;20/05/2020;05/07/2020;09/06/2020
Beta Tauridas;BTA;05/06/2020;17/07/2020;28/06/2020
Gamma Leonidas;GLE;14/08/2020;12/09/2020;25/08/2020
